Variable_Name,Variable Desc,Who,Sales Channel,Product,Activity,Metric,Category
UM_AllChan_3p_Outbound_ReachedContacts,Independent,UM,AllChan,3p,Outbound,ReachedContacts,DM
UM_Retailind_2P_HSIn_CPO1a_SpendPerOE_A,Independent,UM,Retailind,2P_HSIn,CPO1a,SpendPerOE,CPO
UM_Retailind_3P_HSIn_CPO1a_SpendPerOE_B,Independent,UM,Retailind,3P_HSIn,CPO1a,SpendPerOE,CPO
UM_Retailind_2P_HSIn_CPO1b_SpendPerOE_C,Independent,UM,Retailind,2P_HSIn,CPO1b,SpendPerOE,CPO
UM_Retailind_3P_HSIn_CPO1b_SpendPerOE_D,Independent,UM,Retailind,3P_HSIn,CPO1b,SpendPerOE,CPO
UM_Retailind_BCS_CPO1a_SpendPerOE_E,Independent,UM,Retailind,BCS,CPO1a,SpendPerOE,CPO
UM_Retailind_BCS_CPO1b_SpendPerOE_F,Independent,UM,Retailind,BCS,CPO1b,SpendPerOE,CPO
UM_Retailind_2P_HSIn_CPO1_SpendPerOE_G,Independent,UM,Retailind,2P_HSIn,CPO1,SpendPerOE,CPO
UM_Retailind_3P_HSIn_CPO1_SpendPerOE_H,Independent,UM,Retailind,3P_HSIn,CPO1,SpendPerOE,CPO
UM_Retailind_BCS_CPO1_SpendPerOE_I,Independent,UM,Retailind,BCS,CPO1,SpendPerOE,CPO
UM_Retailind_2P_HSIn_CPO2_SpendPerOE_J,Independent,UM,Retailind,2P_HSIn,CPO2,SpendPerOE,CPO
UM_Retailind_3P_HSIn_CPO2_SpendPerOE_K,Independent,UM,Retailind,3P_HSIn,CPO2,SpendPerOE,CPO
UM_Retailind_2P_HSIn_CPO1b_2_SpendPerOE_L,Independent,UM,Retailind,2P_HSIn,CPO 1b_2,SpendPerOE,CPO
UM_Retailind_3P_HSIn_CPO1b_2_SpendPerOE_M,Independent,UM,Retailind,3P_HSIn,CPO 1b_2,SpendPerOE,CPO
UM_Retailind_2P_HSIn_CPO1_2_SpendPerOE_N,Independent,UM,Retailind,2P_HSIn,CPO1 _ 2,SpendPerOE,CPO
UM_Retailind_3P_HSIn_CPO1_2_SpendPerOE_O,Independent,UM,Retailind,3P_HSIn,CPO1 _ 2,SpendPerOE,CPO
UM_Retailind_2P_HSIn_CPO3_Spend_P,Independent,UM,Retailind,2P_HSIn,CPO3,Spend,CPO
UM_Retailind_3P_HSIn_CPO3_Spend_Q,Independent,UM,Retailind,3P_HSIn,CPO3,Spend,CPO
UM_Retailind_BCS_CPO3_Spend_R,Independent,UM,Retailind,BCS,CPO3,Spend,CPO
UM_Retaildir_2P_HSIn_CPO1a_SpendPerOE_A,Independent,UM,Retaildir,2P_HSIn,CPO1a,SpendPerOE,CPO
UM_Retaildir_3P_HSIn_CPO1a_SpendPerOE_B,Independent,UM,Retaildir,3P_HSIn,CPO1a,SpendPerOE,CPO
UM_Retaildir_2P_HSIn_CPO1b_SpendPerOE_C,Independent,UM,Retaildir,2P_HSIn,CPO1b,SpendPerOE,CPO
UM_Retaildir_3P_HSIn_CPO1b_SpendPerOE_D,Independent,UM,Retaildir,3P_HSIn,CPO1b,SpendPerOE,CPO
UM_Retaildir_BCS_CPO1a_SpendPerOE_E,Independent,UM,Retaildir,BCS,CPO1a,SpendPerOE,CPO
UM_Retaildir_BCS_CPO1b_SpendPerOE_F,Independent,UM,Retaildir,BCS,CPO1b,SpendPerOE,CPO
UM_Retaildir_2P_HSIn_CPO1_SpendPerOE_G,Independent,UM,Retaildir,2P_HSIn,CPO1,SpendPerOE,CPO
UM_Retaildir_3P_HSIn_CPO1_SpendPerOE_H,Independent,UM,Retaildir,3P_HSIn,CPO1,SpendPerOE,CPO
UM_Retaildir_BCS_CPO1_SpendPerOE_I,Independent,UM,Retaildir,BCS,CPO1,SpendPerOE,CPO
UM_Retaildir_2P_HSIn_CPO2_SpendPerOE_J,Independent,UM,Retaildir,2P_HSIn,CPO2,SpendPerOE,CPO
UM_Retaildir_3P_HSIn_CPO2_SpendPerOE_K,Independent,UM,Retaildir,3P_HSIn,CPO2,SpendPerOE,CPO
UM_Retaildir_BCS_CPO2_SpendPerOE_L,Independent,UM,Retaildir,BCS,CPO2,SpendPerOE,CPO
UM_Retaildir_2P_HSIn_CPO1b_2_SpendPerOE_M,Independent,UM,Retaildir,2P_HSIn,CPO 1b_2,SpendPerOE,CPO
UM_Retaildir_3P_HSIn_CPO1b_2_SpendPerOE_N,Independent,UM,Retaildir,3P_HSIn,CPO 1b_2,SpendPerOE,CPO
UM_Retaildir_BCS_CPO1b_2_SpendPerOE_O,Independent,UM,Retaildir,BCS,CPO 1b_2,SpendPerOE,CPO
UM_Retaildir_2P_HSIn_CPO1_2_SpendPerOE_P,Independent,UM,Retaildir,2P_HSIn,CPO1 _ 2,SpendPerOE,CPO
UM_Retaildir_3P_HSIn_CPO1_2_SpendPerOE_Q,Independent,UM,Retaildir,3P_HSIn,CPO1 _ 2,SpendPerOE,CPO
UM_Retaildir_BCS_CPO1_2_SpendPerOE_R,Independent,UM,Retaildir,BCS,CPO1 _ 2,SpendPerOE,CPO
UM_Retaildir_2P_HSIn_CPO3_Spend_S,Independent,UM,Retaildir,2P_HSIn,CPO3,Spend,CPO
UM_Retaildir_3P_HSIn_CPO3_Spend_T,Independent,UM,Retaildir,3P_HSIn,CPO3,Spend,CPO
UM_Retaildir_BCS_CPO3_Spend_U,Independent,UM,Retaildir,BCS,CPO3,Spend,CPO
